index_date;ipca_monthly_percentage
2015-01-01;0.998917755267047
2015-02-01;1.0805254705405
2015-03-01;1.35521182189963
2015-04-01;0.813285098575852
2015-05-01;0.685719613345265
2015-06-01;0.979442640614445
2015-07-01;0.656703776482867
2015-08-01;0.353842539360022
2015-09-01;0.686855318217111
2015-10-01;0.752300891253939
2015-11-01;0.965684088260913
2015-12-01;0.846754321362369
2016-01-01;1.05125283018439
2016-02-01;0.766230527963342
2016-03-01;0.450883046346363
2016-04-01;0.698524671203912
2016-05-01;0.747523113188995
2016-06-01;0.545537740637708
2016-07-01;0.559318827286356
2016-08-01;0.565302706056041
2016-09-01;0.214477100103656
2016-10-01;0.19434376479767
2016-11-01;0.115778258229007
2016-12-01;0.178953927023691
2017-01-01;0.189214210247559
2017-02-01;0.203025887204682
2017-03-01;0.264034590436486
2017-04-01;0.224693431456091
2017-05-01;0.319098859845923
2017-06-01;-0.0268093914622233
2017-07-01;0.274882062522286
2017-08-01;0.297432167430573
2017-09-01;0.266350783376187
2017-10-01;0.348381962584108
2017-11-01;0.199931712978873
2017-12-01;0.290732334375936
2018-01-01;0.145731002177778
2018-02-01;0.203769601032241
2018-03-01;0.0686692643822503
2018-04-01;0.327875624685416
2018-05-01;0.46439210843909
2018-06-01;1.48494989259718
2018-07-01;0.358162420584392
2018-08-01;0.0119557786599474
2018-09-01;0.544444064199708
2018-10-01;0.356702766906197
2018-11-01;-0.322161947546407
2018-12-01;-0.0385990593806098
2019-01-01;0.215573043906928
2019-02-01;0.327738754400312
2019-03-01;0.723151380926422
2019-04-01;0.721411369890468
2019-05-01;0.249235839364202
2019-06-01;0.233761705173927
2019-07-01;0.219491974136636
2019-08-01;0.208843629390388
2019-09-01;-0.0319228946470074
2019-10-01;-0.0208158104916302
2019-11-01;0.378253280786969
2019-12-01;0.936309672456969
2020-01-01;0.140004618000367
2020-02-01;0.162956946291831
2020-03-01;0.0142678685803502
2020-04-01;-0.117883304941041
2020-05-01;-0.20914106522499
2020-06-01;0.484672404432656
2020-07-01;0.393971339370624
2020-08-01;0.346917995805567
2020-09-01;0.613614879194012
2020-10-01;0.719594803465221
2020-11-01;0.723074112731072
2020-12-01;1.11519905430672
2021-01-01;0.184461216103105
2021-02-01;0.782858096799791
2021-03-01;0.880893764593592
2021-04-01;0.54043557143461
2021-05-01;1.0381376426641
2021-06-01;0.740147152110646
2021-07-01;0.998166570571336
2021-08-01;0.98001407648754
2021-09-01;1.11529782288511
2021-10-01;1.09828553487542
